0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
48.1873,51.8953,48.246,49.9722,48.0754,48.0761,49.9018,51.8757,50.016,49.989,49.8932,48.1026,51.7984,51.8853,51.8003,49.9241,51.8542,48.0405,-1.05
48.1477,51.9536,48.1225,49.856,48.0721,48.0991,49.9036,51.8611,49.9519,49.9368,49.9274,48.0279,51.8348,51.8973,51.8979,49.9392,51.8875,47.9635,-1.1
48.1352,52.0088,48.1053,49.7955,48.0155,48.0179,49.8811,51.9682,49.9535,49.9591,49.8896,47.9507,51.9454,51.96,51.9687,49.935,52.0049,47.9062,-1.15
47.9801,52.0822,48.113,49.8935,47.9149,47.9371,49.9326,52.0235,49.9779,49.9535,49.935,47.9212,52.0431,52.0398,52.0813,50.0054,51.9956,47.857,-1.2
47.9508,52.0833,47.9921,49.9242,47.9076,47.8608,49.8886,52.0938,49.9681,49.9463,49.8686,47.9,52.0947,52.0755,52.1345,49.9703,52.174,47.8391,-1.25
47.838,52.1743,47.9482,49.9124,47.8056,47.776,49.8784,52.1922,49.9686,49.9359,49.9237,47.8149,52.2457,52.1276,52.2141,49.8831,52.2549,47.7379,-1.3
47.7701,52.3366,47.8917,49.9472,47.6974,47.7357,49.9061,52.2596,49.9835,49.9953,49.9099,47.7797,52.3593,52.294,52.2281,49.8516,52.3055,47.6762,-1.35
47.6767,52.6966,47.7292,49.9591,47.6418,47.6438,49.8619,52.3356,49.9711,49.9841,49.8873,47.3564,52.6972,52.3081,52.3267,49.8635,52.4916,47.6091,-1.4
47.5544,52.6549,47.6767,49.9245,47.3319,47.6261,49.878,52.3854,50.017,50.0177,49.8928,47.2785,52.7997,52.4125,52.6633,49.8921,52.7153,47.3552,-1.45
47.5435,52.7597,47.676,50.0227,47.2304,47.5272,49.843,52.7474,49.9726,49.9399,49.9809,47.2205,52.7502,52.705,52.6921,49.8981,52.7529,47.2985,-1.5
